id	first_name	second_name
1	Petr	Cech
2	Bernd	Leno
3	Laurent	Koscielny
4	HÃƒÂ©ctor	BellerÃƒÂ­n
5	Nacho	Monreal
6	Rob	Holding
7	Shkodran	Mustafi
8	Sead	Kolasinac
9	Calum	Chambers
10	Konstantinos	Mavropanos
11	Stephan	Lichtsteiner
12	Sokratis	Papastathopoulos
13	Mesut	Ãƒâ€“zil
14	Aaron	Ramsey
15	Alex	Iwobi
16	Mohamed	Elneny
17	Granit	Xhaka
18	Henrikh	Mkhitaryan
19	Reiss	Nelson
20	Ainsley	Maitland-Niles
21	Danny	Welbeck
22	Alexandre	Lacazette
23	Pierre-Emerick	Aubameyang
24	Asmir	Begovic
25	Artur	Boruc
26	Simon	Francis
27	Steve	Cook
28	Charlie	Daniels
29	Adam	Smith
30	Tyrone	Mings
31	Nathan	AkÃƒÂ©
32	Jack	Simpson
33	Harry	Arter
34	Marc	Pugh
35	Andrew	Surman
36	Junior	Stanislas
37	Dan	Gosling
38	Jordon	Ibe
39	Lewis	Cook
40	Ryan	Fraser
41	Emerson	Hyndman
42	David	Brooks
43	Callum	Wilson
44	Lys	Mousset
45	Joshua	King
46	Jermain	Defoe
47	Mathew	Ryan
48	Lewis	Dunk
49	Shane	Duffy
50	Bruno	Saltor Grau
51	GaÃƒÂ«tan	Bong
52	Markus	Suttner
53	Ezequiel	Schelotto
54	Leon	Balogun
55	Anthony	Knockaert
56	Dale	Stephens
57	Beram	Kayal
58	Solomon	March
59	Pascal	GroÃƒÅ¸
60	Davy	PrÃƒÂ¶pper
61	JosÃƒÂ© Heriberto	Izquierdo Mena
62	Glenn	Murray
63	Tomer	Hemed
64	Sam	Baldock
65	JÃƒÂ¼rgen	Locadia
66	Florin	Andone
67	Tom	Heaton
68	Nick	Pope
69	Matthew	Lowton
70	Ben	Mee
71	Stephen	Ward
72	James	Tarkowski
73	Kevin	Long
74	Charlie	Taylor
75	Phil	Bardsley
76	Johann Berg	Gudmundsson
77	Steven	Defour
78	Jeff	Hendrick
79	Robbie	Brady
80	Ashley	Westwood
81	Jonathan	Walters
82	Jack	Cork
83	Aaron	Lennon
84	Sam	Vokes
85	Ashley	Barnes
86	Nahki	Wells
87	Chris	Wood
88	Neil	Etheridge
89	Alex	Smithies
90	Sean	Morrison
91	Sol	Bamba
92	Bruno	Ecuele Manga
93	Matthew	Connolly
94	Joe	Bennett
95	Lee	Peltier
96	Ashley Darel Jazz	Richards
97	Greg	Halford
98	Joe	Ralls
99	David Junior	Hoilett
100	Nathaniel	Mendez-Laing
101	Callum	Paterson
102	Aron	Gunnarsson
103	Anthony	Pilkington
104	LoÃƒÂ¯c	Damour
105	Danny	Ward
106	Josh	Murphy
107	Kenneth	Zohore
108	Omar	Bogle
109	Gary	Madine
110	Bobby	Reid
111	Thibaut	Courtois
112	Willy	Caballero
113	CÃƒÂ©sar	Azpilicueta
114	Gary	Cahill
115	Marcos	Alonso
116	David	Luiz Moreira Marinho
117	Victor	Moses
118	Antonio	RÃƒÂ¼diger
119	Andreas	Christensen
120	Davide	Zappacosta
121	Emerson	Palmieri dos Santos
122	Eden	Hazard
123	Cesc	FÃƒ bregas
124	Willian	Borges Da Silva
125	Pedro	RodrÃƒÂ­guez Ledesma
126	N'Golo	KantÃƒÂ©
127	Ross	Barkley
128	Daniel	Drinkwater
129	TiemouÃƒÂ©	Bakayoko
130	Ethan	Ampadu
131	Callum	Hudson-Odoi
132	Ruben	Loftus-Cheek
133	Olivier	Giroud
134	ÃƒÂ�lvaro	Morata
135	Wayne	Hennessey
136	Julian	Speroni
137	Vicente	Guaita
138	James	Tomkins
139	Scott	Dann
140	Martin	Kelly
141	Jeffrey	Schlupp
142	Patrick	van Aanholt
143	Mamadou	Sakho
144	Jairo	Riedewald
145	Aaron	Wan-Bissaka
146	Jason	Puncheon
147	James	McArthur
148	Bakary	Sako
